restaurant,category,name,description,price_cents,currency,image_url,item_url
Blue Mango,Appetizers,Brussel Sprouts,,1000,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Chicken Finger,"Breaded chicken in Tempura batter mix then deep fried till golden brown, served with Thai chili garlic sauce",1200,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Chicken Satay,Marinated tender chicken on skewers grilled to perfection served with Thai peanut sauce and cucumber sauce,1300,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/173ca5fd-113f-422d-8079-5c10409da82b.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Crab Rangoon,Fried marinated crab meat and cream cheese wrapped in wonton skin served with sweet and sour sauce,800,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Crispy Rolls,Crispy fried Thai-style spring rolls served with sweet and sour sauce,700,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/24e696ad-2091-4542-9285-80c953ff108b.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Crispy Wings,Served with sweet chili sauce,1000,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Edamame,Steamed soybeans sprinkled with salt,900,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Sassy Wings,Fried marinated chicken wings topped with scallion in a special sauce .,1000,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Scallion Pancake,Served with ginger sauce,1200,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Shrimp in the Blanket,,1400,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Spicy Edamame,,800,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Appetizers,Vegetable Tempura,Home-Fried vegetables served with sweet and sour sauce,800,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/3ee1380d-528c-4d1d-9c75-d1524c859c89.jpeg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_2
Blue Mango,Beverages,Boba Tea,,600,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Coke,,200,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Diet Coke,,200,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Lemonade,,300,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Sparking Water,,300,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Sparkling Lychee with boba,,500,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Sprite,,200,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
Blue Mango,Beverages,Thai Iced Coffee,,400,USD,https://smilepos-product.s3.amazonaws.com/dining/3008301/DESKTOP/MENU/58fa0606-a4c8-4900-b086-cacedecfde61.jpg?20260730133731,https://bluemangonh.smiledining.com/?2026073001#2_24
