restaurant,category,name,description,price_cents,currency,image_url,item_url
Granfanally's,Appetizers,Chicken Tenders,Please choose one sauce to come on the side.,1730,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#appetizers
Granfanally's,Appetizers,Garlic Knots,"Fresh pizza dough tied up, baked until golden, then smothered in parmesan cheese with our famous garlic-olive oil.",755,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#appetizers
Granfanally's,Calzones,Buffalo Chicken Calzone,"Buffalo chicken, chunky bleu cheese dressing & spicy buffalo sauce.",2523,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#calzones
Granfanally's,Calzones,Cheese Calzone,A Classic Italian favorite.,1960,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#calzones
Granfanally's,Combo Meals,Hand Cut Fries & 6 Wings Combo,Sweet potato or regular.,1960,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#combo-meals
Granfanally's,Combo Meals,Sweet Potato Fries & 6 Wings Combo,,2190,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#combo-meals
Granfanally's,Gourmet Burgers,3 Little Pigs Burger,"Cheeseburger topped with pulled pork, bacon, and sausage with Sriracha aioli.",2075,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#gourmet-burgers
Granfanally's,Gourmet Burgers,Cheeseburger Popular Choice,,1730,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#gourmet-burgers
Granfanally's,Kids Menu,Kid's Cheeseburger & Fries,,1015,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#kids-menu
Granfanally's,Kids Menu,Kid's Chicken Tenders & Fries,,1265,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#kids-menu
Granfanally's,Monday Special,Medium Cheese Pizza & Full Order of Wings Monday Special,,2305,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#monday-special
Granfanally's,Pizza,Cheese Pizza,Classic cheese or create your own pizza.,1615,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#pizza
Granfanally's,Pizza,Gluten Free Pizza,Cooked to perfection with our famous sauce and cheese.,1730,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#pizza
Granfanally's,Salads,Apple Walnut Salad,"Grilled chicken, crumbled Bleu cheese, raisins, cranberries & walnuts.",1325,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#salads
Granfanally's,Salads,House Salad,"Fresh mixed greens topped with carrot, tomato, red onion, cucumber & croutons.",960,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#salads
Granfanally's,Sicilian Pizza,Granfanally's Baby Clam Sicilian Pizza,"Mozzarella, plum tomatoes, baby clams, white wine, and herbs on our homemade pizza dough. Simply a taste bud party.",2885,USD,,https://slicelife.com/restaurants/nh/salem/03079/granfanallys-salem/menu?utm_campaign=order_now_button&utm_medium=referral&utm_source=granfanallys.com&utm_content=custom_link#sicilian-pizza
