restaurant,category,name,description,price_cents,currency,image_url,item_url
Maddie's Bagel & Eatery,Add Ons,"Bacon, Ham, Sausage, Chicken Sausage",,399,USD,,
Maddie's Bagel & Eatery,Add Ons,Baked Beans,,299,USD,,
Maddie's Bagel & Eatery,Add Ons,Berries,,525,USD,,
Maddie's Bagel & Eatery,Add Ons,Corned Beef Hash,,449,USD,,
Maddie's Bagel & Eatery,Add Ons,Fruit Cup,,450,USD,,
Maddie's Bagel & Eatery,Add Ons,Home Fries,,299,USD,,
Maddie's Bagel & Eatery,Add Ons,Kielbasa,,425,USD,,
Maddie's Bagel & Eatery,Add Ons,Muffins,,375,USD,,
Maddie's Bagel & Eatery,Add Ons,Scones,,399,USD,,
Maddie's Bagel & Eatery,Add Ons,Tea Bread,,425,USD,,
Maddie's Bagel & Eatery,Benedicts,Black Forest Benedict,"Poached eggs, hash browns, and bacon on an English muffin, topped with hollandaise and a side of home fries.",1275,USD,,
Maddie's Bagel & Eatery,Benedicts,Irish Eggs,,1375,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Benedicts,Pesto Benedict,"Poached eggs, spinach, tomatoes, and mushrooms, on an English muffin, topped with hollandaise and a side of fruit.",1399,USD,,
Maddie's Bagel & Eatery,Benedicts,Sausage Benedict,"Poached eggs, corned beef hash on an English muffin, topped with hollandaise and a side of home fries.",1275,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Benedicts,Veggie Benedict,"Poached eggs, and sausage patties on a grilled English muffin, topped with hollandaise and a side of home fries.",1349,USD,,
Maddie's Bagel & Eatery,Benedicts,Woodsmen’s Benedict,"Poached eggs, spinach, and roasted red peppers, on an English muffin, topped with pesto and asiago cheese, and a side of home fries",1399,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Artisan,"Fried egg, spinach, tomato, basil pesto, and Swiss on a grilled ciabatta.",675,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Mc Brit,"Fried egg, sausage, and cheddar on a grilled cinnamon raisin bagel.",875,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Mc Foxy,"Fried egg, grilled hash browns, sausage, and cheddar cheese on grilled Texas toast.",799,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Mc Maddie's,"Two eggs scrambled, fire-roasted corn, peppers, onions, black beans, tomatoes, cheddar jack, and salsa in a flour tortilla.",950,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Mc Manders,"Fried egg and melted cheddar on a breakfast ciabatta. Add Ham, Bacon, or Sausage +$1.24",950,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Mc Reed's,"Fried egg, cheddar, Black Forest ham, and bacon on grilled Texas toast.",975,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Breakfast On Bread,Southwest Breakfast Wrap,"Fried egg, bacon, and American on an English muffin grilled with spinach, avocado spread, and tomatoes.",925,USD,,
Maddie's Bagel & Eatery,Breakfast On Bread,Western Breakfast Wrap,"Two eggs scrambled with peppers, onions, diced ham, and cheddar cheese in a flour tortilla.",925,USD,,
Maddie's Bagel & Eatery,Classic Scramblers,Daisy Scrambler,"Three eggs with peppers, onions, and cheddar over grilled corned beef hash and hashbrowns, topped with hollandaise.",1425,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Classic Scramblers,Irish Scrambler,,1450,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Belgian Waffle,"Grilled kielbasa served with two eggs any style, home fries, beans, and grilled tea bread.",1185,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Breakfast Bowl,,1350,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Cinnamon Roll French Toast,"French toast grilled and topped with maple butter, berries, and whipped cream.",1249,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Gourmet Griddle,Eggs in A Basket,Cinnamon roll cut in half dipped in French toast batter and topped with berries and powdered sugar.,1250,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Huevos Rancheros,"Three eggs scrambled with corn, peppers, onions, black beans, tomatoes, and cheddar, topped with chili and served with home fries and grilled cornbread.",1399,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Nana's Lemon French Toast,,1299,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,New England Breakfast,Two fried eggs in grilled Texas toast. Served with home fries and corned beef hash.,1499,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Southwest Breakfast Quesadilla,"Two scrambled eggs with peppers, onions, mushrooms, tomatoes, broccoli, and cheddar cheese in a grilled spinach tortilla. Served with a side of salsa and sour cream.",1250,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Veggie Breakfast Quesadilla,"Belgium waffle topped with blueberries, strawberries, powder sugar, and whipped cream.",1275,USD,,
Maddie's Bagel & Eatery,Gourmet Griddle,Vienna Toast,"Two scrambled eggs with corn, onions, peppers, black beans, tomatoes, and cheddar cheese in a grilled flour tortilla. Served with a side of salsa and sour cream.",1249,USD,https://static.spotapps.co/web/placeholder.png,
Maddie's Bagel & Eatery,Light & Tasty,Avocado Toast,"Low-fat vanilla yogurt topped with granola, berries, and honey.",1025,USD,,
Maddie's Bagel & Eatery,Light & Tasty,Lite Breakfast,"Organic steel-cut oatmeal served with a side of brown sugar, craisins, and candied walnuts.",1049,USD,,
Maddie's Bagel & Eatery,Light & Tasty,Mc Healthy,,975,USD,,
Maddie's Bagel & Eatery,Light & Tasty,Organic Oatmeal,"Two egg whites scrambled with tomatoes, broccoli, spinach, cheddar cheese, and salsa and served in a wheat wrap.",779,USD,,
Maddie's Bagel & Eatery,Light & Tasty,Yogurt Parfait,"Low-fat vanilla yogurt with granola, topped with berries and honey. Served with fresh fruit or grilled tea bread.",825,USD,,
Maddie's Bagel & Eatery,Mini Maddie's,Addie Cake,"Chocolate chip, banana, blueberry or plain.",699,USD,,
Maddie's Bagel & Eatery,Mini Maddie's,Amelia’s Sandwich,Topped with strawberries.,699,USD,,
Maddie's Bagel & Eatery,Mini Maddie's,French Toast Sticks,One egg any style & toast.,699,USD,,
