restaurant,category,name,description,price_cents,currency,image_url,item_url
Vallarta Mexican Grill,Menu,4 oz Hot Tomatillo Sauce,Side of Hot tomatillo sauce,150,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-4-oz-hot-tomatillo-sauce_48c051bb-f9bc-4f14-a052-5a3ff97f180d
Vallarta Mexican Grill,Menu,4 oz Mild Tomatillo Salsa,Side of tomatillo salsa,150,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-4-oz-mild-tomatillo-salsa_df0a608f-b2da-4e37-8fe0-ac1d86a5ffe5
Vallarta Mexican Grill,Menu,8 oz Mild Tomatillo salsa,,325,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-8-oz-mild-tomatillo-salsa_07ee4510-e2a8-4502-a57c-432bca6972f5
Vallarta Mexican Grill,Menu,8oz Hot tomatillo salsa,,325,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-8oz-hot-tomatillo-salsa_cd8e8812-8933-4194-85fa-f63e493aa5ca
Vallarta Mexican Grill,Menu,Extra hot Arbol salsa,,150,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-extra-hot-arbol-salsa_206d57a4-4196-4808-af1f-dfe384c9c7b8
Vallarta Mexican Grill,Menu,Large Side of beans 24oz,,499,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-large-side-of-beans-24oz_f762624b-e952-4496-9f97-a9813d157400
Vallarta Mexican Grill,Menu,Large Side of rice 24oz,,499,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-large-side-of-rice-24oz_ed3d98ea-90dc-42c7-ab2d-fb579036f341
Vallarta Mexican Grill,Menu,Side de chile toreado,,75,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-de-chile-toreado_ee3539de-7a4e-4175-93fe-14d394db4886
Vallarta Mexican Grill,Menu,Side Flour tortilla,,25,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-flour-tortilla_61669d6a-dd40-4ab5-96f1-ca900e12e77b
Vallarta Mexican Grill,Menu,Side handmade corn tortilla,,50,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-handmade-corn-tortilla_b13bef4c-cdaf-4cfd-9820-ea09f44aa612
Vallarta Mexican Grill,Menu,Side of Chipotle Crema,,199,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-chipotle-crema_5d7800fa-034c-41a9-9205-bce993f0aa6e
Vallarta Mexican Grill,Menu,Side of Consome (birria Sauce),Complete your Birria meal with a delicious side of consome served in a 8oz container.,225,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-consome-birria-sauce_a633fa92-e0cb-412a-8c1a-1aef97e05a2c
Vallarta Mexican Grill,Menu,Side Of Fajita Veggie,,375,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-fajita-veggie_c1593fb4-3f81-438a-813c-89b82e5fd5b4
Vallarta Mexican Grill,Menu,Side of french fries,,350,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-french-fries_ce7c765f-f72a-4cf7-8465-af7c53df5570
Vallarta Mexican Grill,Menu,Side of Guacamole Salsa / Avocado crema,"Try a side of our delicious guacamole salsa made with avocado, lime, cilantro, serrano peppers, onion garlic and seasoned to perfection served in a 3.25 oz container.",250,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-guacamole-salsa-avocado-crema_10c147a9-cf45-490f-a8a8-f629b779131d
Vallarta Mexican Grill,Menu,side of pickled onion 4 oz,,175,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-pickled-onion-4-oz_098405c2-8631-4322-9039-147014fd3886
Vallarta Mexican Grill,Menu,Side of Pickled Onion 8oz,,325,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-pickled-onion-8oz_7a8f0858-4087-43df-851e-c0b1b377ae04
Vallarta Mexican Grill,Menu,Side of pico de gallo,small side of Pico de Gallo,150,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-pico-de-gallo_8d4cbbe2-83fb-4f88-9c10-5ab8ae2620b7
Vallarta Mexican Grill,Menu,Side of Rice and Beans,,499,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-rice-and-beans_ea03cf00-9126-4f68-a0a0-9dd2f3e704cf
Vallarta Mexican Grill,Menu,Side of Salsa Verde,,199,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-salsa-verde_f292bffe-a825-4238-a0bb-7200ec951310
Vallarta Mexican Grill,Menu,Side of Shredded cheese,,199,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-shredded-cheese_af08939f-dc9c-42c5-8404-e97dbb8858f0
Vallarta Mexican Grill,Menu,Side of sour cream,,175,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-side-of-sour-cream_f00209d8-9c70-4525-bb6a-e87f18448d9b
Vallarta Mexican Grill,Menu,Small side of beans 8oz,,275,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-small-side-of-beans-8oz_db38e7e8-20d7-4656-9a14-2970eaaba96d
Vallarta Mexican Grill,Menu,Small side of rice 8oz,,275,USD,,https://order.toasttab.com/online/vallarta-tacos-burritos/item-small-side-of-rice-8oz_cc4d984b-c2b5-4148-9131-91760d48c639
